SINR,ISD
37.419088,1000
37.419088,1000
37.419088,1000
37.419087,1000
37.419087,1000
37.419087,1000
37.419087,1000
37.419087,1000
37.419086,1000
37.419086,1000
37.419086,1000
37.419087,1000
37.419087,1000
37.419087,1000
37.419087,1000
37.419087,1000
37.419088,1000
37.419088,1000
37.419088,1000
37.419088,1000
37.419088,1000
37.419087,1000
37.419087,1000
37.419087,1000
37.419087,1000
37.419087,1000
37.419086,1000
37.419086,1000
37.419086,1000
37.419087,1000
37.419087,1000
37.419087,1000
37.419087,1000
37.419087,1000
37.419088,1000
37.419088,1000
34.816171,1000
34.816171,1000
34.816171,1000
34.81617,1000
34.81617,1000
34.816169,1000
34.816169,1000
34.816168,1000
34.816169,1000
34.816169,1000
34.816169,1000
34.816168,1000
34.816169,1000
34.816169,1000
34.81617,1000
34.81617,1000
34.816171,1000
34.816171,1000
34.816171,1000
34.816171,1000
34.816171,1000
34.81617,1000
34.81617,1000
34.816169,1000
34.816169,1000
34.816168,1000
34.816169,1000
34.816169,1000
34.816169,1000
34.816168,1000
34.816169,1000
34.816169,1000
34.81617,1000
34.81617,1000
34.816171,1000
34.816171,1000
32.743396,1000
32.743396,1000
32.743397,1000
32.743397,1000
32.743396,1000
32.743394,1000
32.743393,1000
32.743393,1000
32.743394,1000
32.743394,1000
32.743394,1000
32.743393,1000
32.743393,1000
32.743394,1000
32.743396,1000
32.743397,1000
32.743397,1000
32.743396,1000
32.743396,1000
32.743396,1000
32.743397,1000
32.743397,1000
32.743396,1000
32.743394,1000
32.743393,1000
32.743393,1000
32.743394,1000
32.743394,1000
32.743394,1000
32.743393,1000
32.743393,1000
32.743394,1000
32.743396,1000
32.743397,1000
32.743397,1000
32.743396,1000
31.023457,1000
31.023458,1000
31.02346,1000
31.023461,1000
31.023458,1000
31.023455,1000
31.023452,1000
31.023453,1000
31.023456,1000
31.023457,1000
31.023456,1000
31.023453,1000
31.023452,1000
31.023455,1000
31.023458,1000
31.023461,1000
31.02346,1000
31.023458,1000
31.023457,1000
31.023458,1000
31.02346,1000
31.023461,1000
31.023458,1000
31.023455,1000
31.023452,1000
31.023453,1000
31.023456,1000
31.023457,1000
31.023456,1000
31.023453,1000
31.023452,1000
31.023455,1000
31.023458,1000
31.023461,1000
31.02346,1000
31.023458,1000
29.553005,1000
29.553008,1000
29.553015,1000
29.553017,1000
29.553012,1000
29.553004,1000
29.552999,1000
29.553002,1000
29.553008,1000
29.553012,1000
29.553008,1000
29.553002,1000
29.552999,1000
29.553004,1000
29.553012,1000
29.553017,1000
29.553015,1000
29.553008,1000
29.553005,1000
29.553008,1000
29.553015,1000
29.553017,1000
29.553012,1000
29.553004,1000
29.552999,1000
29.553002,1000
29.553008,1000
29.553012,1000
29.553008,1000
29.553002,1000
29.552999,1000
29.553004,1000
29.553012,1000
29.553017,1000
29.553015,1000
29.553008,1000
28.267353,1000
28.267361,1000
28.267375,1000
28.267382,1000
28.267372,1000
28.267355,1000
28.267345,1000
28.267352,1000
28.267367,1000
28.267375,1000
28.267367,1000
28.267352,1000
28.267345,1000
28.267355,1000
28.267372,1000
28.267382,1000
28.267375,1000
28.267361,1000
28.267353,1000
28.267361,1000
28.267375,1000
28.267382,1000
28.267372,1000
28.267355,1000
28.267345,1000
28.267352,1000
28.267367,1000
28.267375,1000
28.267367,1000
28.267352,1000
28.267345,1000
28.267355,1000
28.267372,1000
28.267382,1000
28.267375,1000
28.267361,1000
27.123562,1000
27.123578,1000
27.123609,1000
27.123623,1000
27.123605,1000
27.123571,1000
27.123553,1000
27.123567,1000
27.123598,1000
27.123614,1000
27.123598,1000
27.123567,1000
27.123553,1000
27.123571,1000
27.123605,1000
27.123623,1000
27.123609,1000
27.123578,1000
27.123562,1000
27.123578,1000
27.123609,1000
27.123623,1000
27.123605,1000
27.123571,1000
27.123553,1000
27.123567,1000
27.123598,1000
27.123614,1000
27.123598,1000
27.123567,1000
27.123553,1000
27.123571,1000
27.123605,1000
27.123623,1000
27.123609,1000
27.123578,1000
26.091761,1000
26.09179,1000
26.091848,1000
26.091876,1000
26.091843,1000
26.091781,1000
26.091749,1000
26.091777,1000
26.091835,1000
26.091865,1000
26.091835,1000
26.091777,1000
26.091749,1000
26.091781,1000
26.091843,1000
26.091876,1000
26.091848,1000
26.09179,1000
26.091761,1000
26.09179,1000
26.091848,1000
26.091876,1000
26.091843,1000
26.091781,1000
26.091749,1000
26.091777,1000
26.091835,1000
26.091865,1000
26.091835,1000
26.091777,1000
26.091749,1000
26.091781,1000
26.091843,1000
26.091876,1000
26.091848,1000
26.09179,1000
25.15036,1000
25.150412,1000
25.150516,1000
25.150565,1000
25.150509,1000
25.150401,1000
25.150345,1000
25.150396,1000
25.1505,1000
25.150552,1000
25.1505,1000
25.150396,1000
25.150345,1000
25.150401,1000
25.150509,1000
25.150565,1000
25.150516,1000
25.150412,1000
25.15036,1000
25.150412,1000
25.150516,1000
25.150565,1000
25.150509,1000
25.150401,1000
25.150345,1000
25.150396,1000
25.1505,1000
25.150552,1000
25.1505,1000
25.150396,1000
25.150345,1000
25.150401,1000
25.150509,1000
25.150565,1000
25.150516,1000
25.150412,1000
24.283266,1000
24.283354,1000
24.283529,1000
24.283614,1000
24.283521,1000
24.28334,1000
24.283249,1000
24.283335,1000
24.28351,1000
24.283598,1000
24.28351,1000
24.283335,1000
24.283249,1000
24.28334,1000
24.283521,1000
24.283614,1000
24.283529,1000
24.283354,1000
24.283266,1000
24.283354,1000
24.283529,1000
24.283614,1000
24.283521,1000
24.28334,1000
24.283249,1000
24.283335,1000
24.28351,1000
24.283598,1000
24.28351,1000
24.283335,1000
24.283249,1000
24.28334,1000
24.283521,1000
24.283614,1000
24.283529,1000
24.283354,1000
23.478165,1000
23.478306,1000
23.478588,1000
23.478727,1000
23.47858,1000
23.47829,1000
23.478144,1000
23.478284,1000
23.478567,1000
23.478709,1000
23.478567,1000
23.478284,1000
23.478144,1000
23.47829,1000
23.47858,1000
23.478727,1000
23.478588,1000
23.478306,1000
23.478165,1000
23.478306,1000
23.478588,1000
23.478727,1000
23.47858,1000
23.47829,1000
23.478144,1000
23.478284,1000
23.478567,1000
23.478709,1000
23.478567,1000
23.478284,1000
23.478144,1000
23.47829,1000
23.47858,1000
23.478727,1000
23.478588,1000
23.478306,1000
22.725425,1000
22.725644,1000
22.726083,1000
22.7263,1000
22.726073,1000
22.725625,1000
22.7254,1000
22.725618,1000
22.726059,1000
22.726279,1000
22.726059,1000
22.725618,1000
22.7254,1000
22.725625,1000
22.726073,1000
22.7263,1000
22.726083,1000
22.725644,1000
22.725425,1000
22.725644,1000
22.726083,1000
22.7263,1000
22.726073,1000
22.725625,1000
22.7254,1000
22.725618,1000
22.726059,1000
22.726279,1000
22.726059,1000
22.725618,1000
22.7254,1000
22.725625,1000
22.726073,1000
22.7263,1000
22.726083,1000
22.725644,1000
22.017368,1000
22.0177,1000
22.018362,1000
22.018689,1000
22.018349,1000
22.017677,1000
22.01734,1000
22.017669,1000
22.018333,1000
22.018666,1000
22.018333,1000
22.017669,1000
22.01734,1000
22.017677,1000
22.018349,1000
22.018689,1000
22.018362,1000
22.0177,1000
22.017368,1000
22.0177,1000
22.018362,1000
22.018689,1000
22.018349,1000
22.017677,1000
22.01734,1000
22.017669,1000
22.018333,1000
22.018666,1000
22.018333,1000
22.017669,1000
22.01734,1000
22.017677,1000
22.018349,1000
22.018689,1000
22.018362,1000
22.0177,1000
21.347776,1000
21.348262,1000
21.349233,1000
21.349714,1000
21.349219,1000
21.348236,1000
21.347743,1000
21.348227,1000
21.349201,1000
21.349689,1000
21.349201,1000
21.348227,1000
21.347743,1000
21.348236,1000
21.349219,1000
21.349714,1000
21.349233,1000
21.348262,1000
21.347776,1000
21.348262,1000
21.349233,1000
21.349714,1000
21.349219,1000
21.348236,1000
21.347743,1000
21.348227,1000
21.349201,1000
21.349689,1000
21.349201,1000
21.348227,1000
21.347743,1000
21.348236,1000
21.349219,1000
21.349714,1000
21.349233,1000
21.348262,1000
20.711535,1000
20.712231,1000
20.713621,1000
20.714311,1000
20.713604,1000
20.712201,1000
20.711497,1000
20.712191,1000
20.713585,1000
20.714282,1000
20.713585,1000
20.712191,1000
20.711497,1000
20.712201,1000
20.713604,1000
20.714311,1000
20.713621,1000
20.712231,1000
20.711535,1000
20.712231,1000
20.713621,1000
20.714311,1000
20.713604,1000
20.712201,1000
20.711497,1000
20.712191,1000
20.713585,1000
20.714282,1000
20.713585,1000
20.712191,1000
20.711497,1000
20.712201,1000
20.713604,1000
20.714311,1000
20.713621,1000
20.712231,1000
20.104385,1000
20.105361,1000
20.107309,1000
20.108278,1000
20.10729,1000
20.105326,1000
20.104342,1000
20.105316,1000
20.107269,1000
20.108247,1000
20.107269,1000
20.105316,1000
20.104342,1000
20.105326,1000
20.10729,1000
20.108278,1000
20.107309,1000
20.105361,1000
20.104385,1000
20.105361,1000
20.107309,1000
20.108278,1000
20.10729,1000
20.105326,1000
20.104342,1000
20.105316,1000
20.107269,1000
20.108247,1000
20.107269,1000
20.105316,1000
20.104342,1000
20.105326,1000
20.10729,1000
20.108278,1000
20.107309,1000
20.105361,1000
19.52274,1000
19.524081,1000
19.526761,1000
19.528095,1000
19.52674,1000
19.524042,1000
19.522692,1000
19.524031,1000
19.526717,1000
19.528061,1000
19.526717,1000
19.524031,1000
19.522692,1000
19.524042,1000
19.52674,1000
19.528095,1000
19.526761,1000
19.524081,1000
19.52274,1000
19.524081,1000
19.526761,1000
19.528095,1000
19.52674,1000
19.524042,1000
19.522692,1000
19.524031,1000
19.526717,1000
19.528061,1000
19.526717,1000
19.524031,1000
19.522692,1000
19.524042,1000
19.52674,1000
19.528095,1000
19.526761,1000
19.524081,1000
18.963544,1000
18.965356,1000
18.96898,1000
18.970784,1000
18.968955,1000
18.965312,1000
18.963489,1000
18.9653,1000
18.968931,1000
18.970747,1000
18.968931,1000
18.9653,1000
18.963489,1000
18.965312,1000
18.968955,1000
18.970784,1000
18.96898,1000
18.965356,1000
18.963544,1000
18.965356,1000
18.96898,1000
18.970784,1000
18.968955,1000
18.965312,1000
18.963489,1000
18.9653,1000
18.968931,1000
18.970747,1000
18.968931,1000
18.9653,1000
18.963489,1000
18.965312,1000
18.968955,1000
18.970784,1000
18.96898,1000
18.965356,1000
18.424167,1000
18.426579,1000
18.431403,1000
18.433807,1000
18.431375,1000
18.42653,1000
18.424106,1000
18.426517,1000
18.43135,1000
18.433767,1000
18.43135,1000
18.426517,1000
18.424106,1000
18.42653,1000
18.431375,1000
18.433807,1000
18.431403,1000
18.426579,1000
18.424167,1000
18.426579,1000
18.431403,1000
