SINR,ISD
8.019748,1150
8.111414,1150
8.187971,1150
8.030733,1150
8.111816,1150
8.140882,1150
8.018746,1150
8.030733,1150
8.201371,1150
8.193207,1150
8.035547,1150
8.193207,1150
8.201371,1150
8.026299,1150
8.111816,1150
8.03073,1150
8.073662,1150
8.20543,1150
8.130992,1150
8.030219,1150
9.854932,1250
9.91109,1250
9.9565,1250
9.856609,1250
9.907443,1250
9.925693,1250
9.848959,1250
9.856609,1250
9.96521,1250
9.961072,1250
9.86447,1250
9.965963,1250
9.971801,1250
9.863647,1250
9.917264,1250
9.866534,1250
9.893082,1250
9.973969,1250
9.926329,1250
9.862127,1250
